path,filename,true_style,true_artist,style_dist,artist_dist,outlier_score
data/wikiart/Art_Nouveau_Modern/alphonse-mucha_nude-on-a-rock-1899.jpg,alphonse-mucha_nude-on-a-rock-1899.jpg,Art_Nouveau_Modern,alphonse-mucha,0.9835,0.9306,0.957
data/wikiart/Realism/thomas-eakins_the-map.jpg,thomas-eakins_the-map.jpg,Realism,thomas-eakins,0.9793,0.9079,0.9436
data/wikiart/Rococo/jean-honore-fragonard_pasha.jpg,jean-honore-fragonard_pasha.jpg,Rococo,jean-honore-fragonard,1.009,0.8557,0.9324
data/wikiart/Realism/thomas-eakins_nine-studies-of-a-figure.jpg,thomas-eakins_nine-studies-of-a-figure.jpg,Realism,thomas-eakins,0.9653,0.898,0.9317
data/wikiart/Romanticism/karl-bodmer_inside-front-cover-right.jpg,karl-bodmer_inside-front-cover-right.jpg,Romanticism,karl-bodmer,1.0366,0.8075,0.9221
data/wikiart/Impressionism/maurice-prendergast_children-at-play-1895.jpg,maurice-prendergast_children-at-play-1895.jpg,Impressionism,maurice-prendergast,0.9276,0.8661,0.8969
data/wikiart/Realism/claude-monet_trophies-of-the-hunt.jpg,claude-monet_trophies-of-the-hunt.jpg,Realism,claude-monet,0.7838,1.0078,0.8958
data/wikiart/Art_Nouveau_Modern/edmund-dulac_prospero-in-secret-studies-from-the-tempest.jpg,edmund-dulac_prospero-in-secret-studies-from-the-tempest.jpg,Art_Nouveau_Modern,edmund-dulac,0.9004,0.8772,0.8888
data/wikiart/Naive_Art_Primitivism/marc-chagall_ceiling-of-paris-opera-house-1964.jpg,marc-chagall_ceiling-of-paris-opera-house-1964.jpg,Naive_Art_Primitivism,marc-chagall,0.9051,0.8663,0.8857
data/wikiart/Impressionism/camille-pissarro_the-war-of-haves-and-have-nots.jpg,camille-pissarro_the-war-of-haves-and-have-nots.jpg,Impressionism,camille-pissarro,0.894,0.8759,0.8849
data/wikiart/Impressionism/berthe-morisot_view-of-tivoli-after-corot.jpg,berthe-morisot_view-of-tivoli-after-corot.jpg,Impressionism,berthe-morisot,0.8846,0.8719,0.8782
data/wikiart/Post_Impressionism/ferdinand-hodler_pansies.jpg,ferdinand-hodler_pansies.jpg,Post_Impressionism,ferdinand-hodler,0.6948,1.0492,0.872
data/wikiart/Impressionism/edgar-degas_sulking.jpg,edgar-degas_sulking.jpg,Impressionism,edgar-degas,0.9292,0.8129,0.871
data/wikiart/Impressionism/edgar-degas_young-spartans-exercising-1860.jpg,edgar-degas_young-spartans-exercising-1860.jpg,Impressionism,edgar-degas,0.9402,0.7991,0.8697
data/wikiart/Impressionism/claude-monet_the-red-cape-madame-monet.jpg,claude-monet_the-red-cape-madame-monet.jpg,Impressionism,claude-monet,0.8499,0.8818,0.8658
data/wikiart/Post_Impressionism/pablo-picasso_portrait-of-allan-stein-1906.jpg,pablo-picasso_portrait-of-allan-stein-1906.jpg,Post_Impressionism,pablo-picasso,0.8946,0.8171,0.8558
data/wikiart/Romanticism/francisco-goya_witches-ready-to-fly.jpg,francisco-goya_witches-ready-to-fly.jpg,Romanticism,francisco-goya,0.9309,0.7799,0.8554
data/wikiart/Realism/vasily-surikov_the-fight-of-good-spirits-against-evil-spirits-1875.jpg,vasily-surikov_the-fight-of-good-spirits-against-evil-spirits-1875.jpg,Realism,vasily-surikov,0.8637,0.8461,0.8549
data/wikiart/Impressionism/john-singer-sargent_graveyard-in-the-tyrol-1914.jpg,john-singer-sargent_graveyard-in-the-tyrol-1914.jpg,Impressionism,john-singer-sargent,0.8468,0.8591,0.853
data/wikiart/Realism/jacek-malczewski_student.jpg,jacek-malczewski_student.jpg,Realism,jacek-malczewski,0.6991,1.0041,0.8516
data/wikiart/Expressionism/hans-hofmann_untitled-1929.jpg,hans-hofmann_untitled-1929.jpg,Expressionism,hans-hofmann,0.8106,0.8883,0.8494
data/wikiart/New_Realism/edward-hopper_male-nude-1904.jpg,edward-hopper_male-nude-1904.jpg,New_Realism,edward-hopper,0.8335,0.8621,0.8478
data/wikiart/Impressionism/mary-cassatt_the-lamp-1891.jpg,mary-cassatt_the-lamp-1891.jpg,Impressionism,mary-cassatt,0.9912,0.6979,0.8446
data/wikiart/Symbolism/augustus-john_moses-and-the-brazen-serpent-1898.jpg,augustus-john_moses-and-the-brazen-serpent-1898.jpg,Symbolism,augustus-john,0.8765,0.8095,0.843
data/wikiart/Art_Nouveau_Modern/konstantin-korovin_set-design-for-the-opera-windsor-gossips-1888.jpg,konstantin-korovin_set-design-for-the-opera-windsor-gossips-1888.jpg,Art_Nouveau_Modern,konstantin-korovin,0.9476,0.738,0.8428
data/wikiart/Realism/thomas-eakins_eakins-perspective-study-of-boy-viewing-object-1910.jpg,thomas-eakins_eakins-perspective-study-of-boy-viewing-object-1910.jpg,Realism,thomas-eakins,0.9081,0.7746,0.8414
data/wikiart/Realism/vincent-van-gogh_still-life-with-a-basket-of-apples-1885.jpg,vincent-van-gogh_still-life-with-a-basket-of-apples-1885.jpg,Realism,vincent-van-gogh,0.7305,0.9506,0.8405
