created model
Epoch 1/200 | Train Loss: 9.3654 | Val Loss: 8.3838 | Style Acc: 0.2705 | Artist Acc: 0.0458
Epoch 2/200 | Train Loss: 7.8624 | Val Loss: 7.2701 | Style Acc: 0.3777 | Artist Acc: 0.0919
Epoch 3/200 | Train Loss: 7.0023 | Val Loss: 6.6530 | Style Acc: 0.4334 | Artist Acc: 0.1330
Epoch 4/200 | Train Loss: 6.5238 | Val Loss: 6.3135 | Style Acc: 0.4574 | Artist Acc: 0.1555
Epoch 5/200 | Train Loss: 6.1807 | Val Loss: 6.1127 | Style Acc: 0.4576 | Artist Acc: 0.1696
Epoch 6/200 | Train Loss: 5.9156 | Val Loss: 5.8291 | Style Acc: 0.4888 | Artist Acc: 0.1915
Epoch 7/200 | Train Loss: 5.6850 | Val Loss: 5.6538 | Style Acc: 0.4980 | Artist Acc: 0.2077
Epoch 8/200 | Train Loss: 5.4807 | Val Loss: 5.5044 | Style Acc: 0.5042 | Artist Acc: 0.2250
Epoch 9/200 | Train Loss: 5.3020 | Val Loss: 5.3849 | Style Acc: 0.5171 | Artist Acc: 0.2429
Epoch 10/200 | Train Loss: 5.1319 | Val Loss: 5.2585 | Style Acc: 0.5216 | Artist Acc: 0.2576
Epoch 11/200 | Train Loss: 4.9750 | Val Loss: 5.1692 | Style Acc: 0.5254 | Artist Acc: 0.2668
Epoch 12/200 | Train Loss: 4.8327 | Val Loss: 5.1086 | Style Acc: 0.5307 | Artist Acc: 0.2725
Epoch 13/200 | Train Loss: 4.7048 | Val Loss: 5.0417 | Style Acc: 0.5339 | Artist Acc: 0.2881
Epoch 14/200 | Train Loss: 4.5628 | Val Loss: 4.9567 | Style Acc: 0.5380 | Artist Acc: 0.2938
Epoch 15/200 | Train Loss: 4.4547 | Val Loss: 4.9102 | Style Acc: 0.5403 | Artist Acc: 0.3009
Epoch 16/200 | Train Loss: 4.3359 | Val Loss: 4.8554 | Style Acc: 0.5431 | Artist Acc: 0.3081
Epoch 17/200 | Train Loss: 4.2385 | Val Loss: 4.8407 | Style Acc: 0.5412 | Artist Acc: 0.3073
Epoch 18/200 | Train Loss: 4.1327 | Val Loss: 4.7686 | Style Acc: 0.5508 | Artist Acc: 0.3237
Epoch 19/200 | Train Loss: 4.0414 | Val Loss: 4.7337 | Style Acc: 0.5532 | Artist Acc: 0.3258
Epoch 20/200 | Train Loss: 3.9284 | Val Loss: 4.7244 | Style Acc: 0.5500 | Artist Acc: 0.3296
