created model
phase1 Epoch 1/200 | Train Loss: 9.3850 | Val Loss: 8.5136 | Style Acc: 0.2396 | Artist Acc: 0.0462
phase1 Epoch 2/200 | Train Loss: 7.9748 | Val Loss: 7.3833 | Style Acc: 0.3663 | Artist Acc: 0.0903
phase1 Epoch 3/200 | Train Loss: 7.1637 | Val Loss: 6.7632 | Style Acc: 0.4215 | Artist Acc: 0.1255
phase1 Epoch 4/200 | Train Loss: 6.6918 | Val Loss: 6.3974 | Style Acc: 0.4475 | Artist Acc: 0.1563
phase1 Epoch 5/200 | Train Loss: 6.3728 | Val Loss: 6.1380 | Style Acc: 0.4612 | Artist Acc: 0.1732
phase1 Epoch 6/200 | Train Loss: 6.1159 | Val Loss: 5.9366 | Style Acc: 0.4719 | Artist Acc: 0.1906
phase1 Epoch 7/200 | Train Loss: 5.9000 | Val Loss: 5.7240 | Style Acc: 0.4888 | Artist Acc: 0.2061
phase1 Epoch 8/200 | Train Loss: 5.7219 | Val Loss: 5.5809 | Style Acc: 0.4999 | Artist Acc: 0.2200
phase1 Epoch 9/200 | Train Loss: 5.5615 | Val Loss: 5.4748 | Style Acc: 0.5043 | Artist Acc: 0.2348
phase1 Epoch 10/200 | Train Loss: 5.4078 | Val Loss: 5.3863 | Style Acc: 0.5069 | Artist Acc: 0.2393
phase1 Epoch 11/200 | Train Loss: 5.2885 | Val Loss: 5.2525 | Style Acc: 0.5202 | Artist Acc: 0.2539
phase1 Epoch 12/200 | Train Loss: 5.1716 | Val Loss: 5.1641 | Style Acc: 0.5278 | Artist Acc: 0.2693
phase1 Epoch 13/200 | Train Loss: 5.0524 | Val Loss: 5.1214 | Style Acc: 0.5316 | Artist Acc: 0.2726
phase1 Epoch 14/200 | Train Loss: 4.9402 | Val Loss: 5.0211 | Style Acc: 0.5339 | Artist Acc: 0.2813
phase1 Epoch 15/200 | Train Loss: 4.8514 | Val Loss: 4.9857 | Style Acc: 0.5344 | Artist Acc: 0.2866
phase1 Epoch 16/200 | Train Loss: 4.7553 | Val Loss: 4.9213 | Style Acc: 0.5424 | Artist Acc: 0.2967
phase1 Epoch 17/200 | Train Loss: 4.6687 | Val Loss: 4.8522 | Style Acc: 0.5462 | Artist Acc: 0.3052
phase1 Epoch 18/200 | Train Loss: 4.5738 | Val Loss: 4.7955 | Style Acc: 0.5446 | Artist Acc: 0.3084
phase1 Epoch 19/200 | Train Loss: 4.4981 | Val Loss: 4.7605 | Style Acc: 0.5487 | Artist Acc: 0.3183
phase1 Epoch 20/200 | Train Loss: 4.4082 | Val Loss: 4.7114 | Style Acc: 0.5519 | Artist Acc: 0.3226
phase1 Epoch 21/200 | Train Loss: 4.3339 | Val Loss: 4.6890 | Style Acc: 0.5538 | Artist Acc: 0.3252
phase1 Epoch 22/200 | Train Loss: 4.2512 | Val Loss: 4.6310 | Style Acc: 0.5618 | Artist Acc: 0.3336
phase1 Epoch 23/200 | Train Loss: 4.1902 | Val Loss: 4.6281 | Style Acc: 0.5596 | Artist Acc: 0.3330
phase1 Epoch 24/200 | Train Loss: 4.1068 | Val Loss: 4.5921 | Style Acc: 0.5599 | Artist Acc: 0.3380
phase1 Epoch 25/200 | Train Loss: 4.0477 | Val Loss: 4.5568 | Style Acc: 0.5647 | Artist Acc: 0.3439
phase1 Epoch 26/200 | Train Loss: 3.9704 | Val Loss: 4.5340 | Style Acc: 0.5662 | Artist Acc: 0.3459
phase1 Epoch 27/200 | Train Loss: 3.9107 | Val Loss: 4.4985 | Style Acc: 0.5675 | Artist Acc: 0.3502
phase1 Epoch 28/200 | Train Loss: 3.8513 | Val Loss: 4.4777 | Style Acc: 0.5678 | Artist Acc: 0.3532
phase1 Epoch 29/200 | Train Loss: 3.7869 | Val Loss: 4.4731 | Style Acc: 0.5733 | Artist Acc: 0.3589
phase1 Epoch 30/200 | Train Loss: 3.7416 | Val Loss: 4.4464 | Style Acc: 0.5731 | Artist Acc: 0.3595
phase1 Epoch 31/200 | Train Loss: 3.6730 | Val Loss: 4.4331 | Style Acc: 0.5675 | Artist Acc: 0.3625
phase1 Epoch 32/200 | Train Loss: 3.6286 | Val Loss: 4.3832 | Style Acc: 0.5755 | Artist Acc: 0.3646
phase1 Epoch 33/200 | Train Loss: 3.5688 | Val Loss: 4.3619 | Style Acc: 0.5768 | Artist Acc: 0.3677
phase1 Epoch 34/200 | Train Loss: 3.5040 | Val Loss: 4.3853 | Style Acc: 0.5747 | Artist Acc: 0.3700
phase1 Epoch 35/200 | Train Loss: 3.4532 | Val Loss: 4.3626 | Style Acc: 0.5805 | Artist Acc: 0.3730
phase1 Epoch 36/200 | Train Loss: 3.4074 | Val Loss: 4.3897 | Style Acc: 0.5752 | Artist Acc: 0.3716
phase1 Epoch 37/200 | Train Loss: 3.3586 | Val Loss: 4.3597 | Style Acc: 0.5752 | Artist Acc: 0.3732
phase1 Epoch 38/200 | Train Loss: 3.3125 | Val Loss: 4.3475 | Style Acc: 0.5760 | Artist Acc: 0.3776
phase1 Epoch 39/200 | Train Loss: 3.2572 | Val Loss: 4.3560 | Style Acc: 0.5773 | Artist Acc: 0.3776
phase1 Epoch 40/200 | Train Loss: 3.2033 | Val Loss: 4.3455 | Style Acc: 0.5800 | Artist Acc: 0.3784
phase1 Epoch 41/200 | Train Loss: 3.1796 | Val Loss: 4.3227 | Style Acc: 0.5787 | Artist Acc: 0.3830
phase1 Epoch 42/200 | Train Loss: 3.1357 | Val Loss: 4.3401 | Style Acc: 0.5782 | Artist Acc: 0.3854
phase1 Epoch 43/200 | Train Loss: 3.0827 | Val Loss: 4.3318 | Style Acc: 0.5765 | Artist Acc: 0.3863
phase1 Epoch 44/200 | Train Loss: 3.0401 | Val Loss: 4.3364 | Style Acc: 0.5799 | Artist Acc: 0.3893
phase1 Epoch 45/200 | Train Loss: 2.9943 | Val Loss: 4.3360 | Style Acc: 0.5824 | Artist Acc: 0.3885
phase1 Epoch 46/200 | Train Loss: 2.9674 | Val Loss: 4.3487 | Style Acc: 0.5726 | Artist Acc: 0.3910
phase1 Epoch 47/200 | Train Loss: 2.9262 | Val Loss: 4.3285 | Style Acc: 0.5849 | Artist Acc: 0.3938
phase1 Epoch 48/200 | Train Loss: 2.8694 | Val Loss: 4.3421 | Style Acc: 0.5815 | Artist Acc: 0.3936
phase1 Epoch 49/200 | Train Loss: 2.8502 | Val Loss: 4.3556 | Style Acc: 0.5766 | Artist Acc: 0.3904
phase1 Epoch 50/200 | Train Loss: 2.8108 | Val Loss: 4.3579 | Style Acc: 0.5773 | Artist Acc: 0.3941
phase1 Epoch 51/200 | Train Loss: 2.7794 | Val Loss: 4.3661 | Style Acc: 0.5766 | Artist Acc: 0.3960
phase1 Epoch 52/200 | Train Loss: 2.7268 | Val Loss: 4.3672 | Style Acc: 0.5794 | Artist Acc: 0.3971
phase1 Epoch 53/200 | Train Loss: 2.7073 | Val Loss: 4.3436 | Style Acc: 0.5780 | Artist Acc: 0.3961
Early stopping triggered after 53 epochs
loaded best phase1 model (val_loss: 4.3227)
unfroze backbone
phase2 Epoch 1/50 | Train Loss: 3.1760 | Val Loss: 4.3771 | Style Acc: 0.5750 | Artist Acc: 0.3816
phase2 Epoch 2/50 | Train Loss: 3.0856 | Val Loss: 4.3381 | Style Acc: 0.5792 | Artist Acc: 0.3862
phase2 Epoch 3/50 | Train Loss: 3.0426 | Val Loss: 4.3655 | Style Acc: 0.5747 | Artist Acc: 0.3856
phase2 Epoch 4/50 | Train Loss: 2.9993 | Val Loss: 4.3320 | Style Acc: 0.5811 | Artist Acc: 0.3910
phase2 Epoch 5/50 | Train Loss: 2.9748 | Val Loss: 4.3108 | Style Acc: 0.5796 | Artist Acc: 0.3985
phase2 Epoch 6/50 | Train Loss: 2.9159 | Val Loss: 4.3639 | Style Acc: 0.5744 | Artist Acc: 0.3907
phase2 Epoch 7/50 | Train Loss: 2.8797 | Val Loss: 4.3318 | Style Acc: 0.5795 | Artist Acc: 0.3963
phase2 Epoch 8/50 | Train Loss: 2.8451 | Val Loss: 4.3365 | Style Acc: 0.5798 | Artist Acc: 0.3970
phase2 Epoch 9/50 | Train Loss: 2.8075 | Val Loss: 4.3519 | Style Acc: 0.5785 | Artist Acc: 0.3932
phase2 Epoch 10/50 | Train Loss: 2.7722 | Val Loss: 4.3491 | Style Acc: 0.5803 | Artist Acc: 0.3953
phase2 Epoch 11/50 | Train Loss: 2.7427 | Val Loss: 4.3262 | Style Acc: 0.5851 | Artist Acc: 0.3954
phase2 Epoch 12/50 | Train Loss: 2.6959 | Val Loss: 4.3614 | Style Acc: 0.5798 | Artist Acc: 0.3996
phase2 Epoch 13/50 | Train Loss: 2.6685 | Val Loss: 4.3499 | Style Acc: 0.5808 | Artist Acc: 0.4003
phase2 Epoch 14/50 | Train Loss: 2.6363 | Val Loss: 4.3491 | Style Acc: 0.5826 | Artist Acc: 0.4025
phase2 Epoch 15/50 | Train Loss: 2.5946 | Val Loss: 4.3576 | Style Acc: 0.5771 | Artist Acc: 0.3955
Early stopping triggered after 15 epochs
